,Acc,Auc,Mcc,Sen,Sp
PDT-Profile,0.942307692,0.977810651,0.890563557,0.884615385,1
Top-n-gram,0.942307692,0.982248521,0.890563557,0.884615385,1
DT,0.884615385,0.985207101,0.769230769,0.884615385,0.884615385
PSSM-DT,0.865384615,0.915680473,0.735682938,0.923076923,0.807692308
PC-PseAAC-General,0.846153846,0.906804734,0.70064905,0.769230769,0.923076923
PC-PseAAC,0.846153846,0.906804734,0.70064905,0.769230769,0.923076923
ACC-PSSM,0.846153846,0.964497041,0.711512474,0.730769231,0.961538462
SC-PseAAC-General,0.846153846,0.902366864,0.711512474,0.730769231,0.961538462
DP,0.826923077,0.952662722,0.696932052,0.653846154,1
CC-PSSM,0.826923077,0.933431953,0.666282531,0.730769231,0.923076923
AC-PSSM,0.807692308,0.921597633,0.632455532,0.692307692,0.923076923
PDT,0.788461538,0.897928994,0.587896351,0.692307692,0.884615385
DR,0.788461538,0.960059172,0.63671454,0.576923077,1
kmer,0.75,0.949704142,0.53294804,0.576923077,0.923076923
forward_20_ProtVec,0.692307692,0.736686391,0.389249472,0.769230769,0.615384615
forward_16_ProtVec,0.692307692,0.713017751,0.384615385,0.692307692,0.692307692
backward_16_ProtVec,0.692307692,0.713017751,0.384615385,0.692307692,0.692307692
backward_20_ProtVec,0.692307692,0.736686391,0.389249472,0.769230769,0.615384615
backward_16_Binary_5_bit,0.673076923,0.711538462,0.352737811,0.769230769,0.576923077
backward_20_Binary_5_bit,0.673076923,0.704142012,0.346410162,0.653846154,0.692307692
backward_16_ANN4D,0.673076923,0.602071006,0.348481392,0.615384615,0.730769231
forward_20_Binary_5_bit,0.673076923,0.704142012,0.346410162,0.653846154,0.692307692
forward_16_Binary_5_bit,0.673076923,0.711538462,0.352737811,0.769230769,0.576923077
forward_16_ANN4D,0.673076923,0.602071006,0.348481392,0.615384615,0.730769231
feature-CC.csv,0.653846154,0.634615385,0.311399578,0.576923077,0.730769231
forward_28_Micheletti_potentials,0.653846154,0.673076923,0.3086067,0.615384615,0.692307692
forward_24_Binary_5_bit,0.653846154,0.683431953,0.307692308,0.653846154,0.653846154
backward_28_Micheletti_potentials,0.653846154,0.673076923,0.3086067,0.615384615,0.692307692
backward_16_Acthely_factors,0.653846154,0.619822485,0.307692308,0.653846154,0.653846154
forward_32_ProtVec,0.653846154,0.735207101,0.311399578,0.730769231,0.576923077
backward_28_ProtVec,0.653846154,0.702662722,0.311399578,0.730769231,0.576923077
backward_24_Binary_5_bit,0.653846154,0.683431953,0.307692308,0.653846154,0.653846154
forward_16_Acthely_factors,0.653846154,0.619822485,0.307692308,0.653846154,0.653846154
forward_28_ProtVec,0.653846154,0.702662722,0.311399578,0.730769231,0.576923077
backward_32_ProtVec,0.653846154,0.735207101,0.311399578,0.730769231,0.576923077
SC-PseAAC.csv,0.638461538,0.678106509,0.281345962,0.557692308,0.719230769
feature-AC.csv,0.634615385,0.689349112,0.274351631,0.538461538,0.730769231
forward_16_Micheletti_potentials,0.634615385,0.677514793,0.269430126,0.615384615,0.653846154
forward_20_One_hot,0.634615385,0.649408284,0.269430126,0.615384615,0.653846154
backward_20_One_hot,0.634615385,0.649408284,0.269430126,0.615384615,0.653846154
backward_20_Micheletti_potentials,0.634615385,0.630177515,0.271041082,0.576923077,0.692307692
backward_32_Binary_5_bit,0.634615385,0.735207101,0.274351631,0.730769231,0.538461538
forward_24_ProtVec,0.634615385,0.717455621,0.271041082,0.692307692,0.576923077
backward_16_Micheletti_potentials,0.634615385,0.677514793,0.269430126,0.615384615,0.653846154
backward_24_ProtVec,0.634615385,0.717455621,0.271041082,0.692307692,0.576923077
backward_16_One_hot,0.634615385,0.680473373,0.269430126,0.653846154,0.615384615
forward_20_Micheletti_potentials,0.634615385,0.630177515,0.271041082,0.576923077,0.692307692
forward_32_Binary_5_bit,0.634615385,0.735207101,0.274351631,0.730769231,0.538461538
forward_16_One_hot,0.634615385,0.680473373,0.269430126,0.653846154,0.615384615
backward_24_Micheletti_potentials,0.615384615,0.607988166,0.231455025,0.576923077,0.653846154
ACC.csv,0.615384615,0.668639053,0.230769231,0.615384615,0.615384615
forward_24_Micheletti_potentials,0.615384615,0.607988166,0.231455025,0.576923077,0.653846154
backward_28_Binary_5_bit,0.596153846,0.704142012,0.19245009,0.576923077,0.615384615
forward_28_Binary_5_bit,0.596153846,0.704142012,0.19245009,0.576923077,0.615384615
backward_32_Micheletti_potentials,0.576923077,0.652366864,0.153846154,0.576923077,0.576923077
forward_24_PAM250,0.576923077,0.485207101,0.15430335,0.538461538,0.615384615
forward_24_One_hot,0.576923077,0.640532544,0.15430335,0.615384615,0.538461538
backward_24_One_hot,0.576923077,0.640532544,0.15430335,0.615384615,0.538461538
forward_28_One_hot,0.576923077,0.631656805,0.15430335,0.615384615,0.538461538
backward_28_One_hot,0.576923077,0.631656805,0.15430335,0.615384615,0.538461538
backward_24_PAM250,0.576923077,0.485207101,0.15430335,0.538461538,0.615384615
forward_32_Micheletti_potentials,0.576923077,0.652366864,0.153846154,0.576923077,0.576923077
backward_16_Miyazawa_energies,0.557692308,0.50739645,0.122988009,0.384615385,0.730769231
backward_32_ANN4D,0.557692308,0.610946746,0.116160464,0.5,0.615384615
forward_32_ANN4D,0.557692308,0.610946746,0.116160464,0.5,0.615384615
forward_16_Meiler_parameters,0.557692308,0.569526627,0.122988009,0.384615385,0.730769231
forward_28_One_hot_6_bit,0.557692308,0.535502959,0.11980846,0.423076923,0.692307692
backward_28_One_hot_6_bit,0.557692308,0.535502959,0.11980846,0.423076923,0.692307692
backward_16_Meiler_parameters,0.557692308,0.569526627,0.122988009,0.384615385,0.730769231
forward_16_Miyazawa_energies,0.557692308,0.50739645,0.122988009,0.384615385,0.730769231
backward_20_ANN4D,0.538461538,0.547337278,0.077151675,0.576923077,0.5
backward_16_PAM250,0.538461538,0.49704142,0.077849894,0.461538462,0.615384615
forward_28_PAM250,0.538461538,0.443786982,0.077849894,0.461538462,0.615384615
backward_20_Acthely_factors,0.538461538,0.578402367,0.076923077,0.538461538,0.538461538
