,Acc,Auc,Mcc,Sen,Sp
PC-PseAAC-General.csv,0.8630573248407644,0.9336281390725791,0.7279034580402857,0.8280254777070064,0.8980891719745223
PC-PseAAC.csv,0.8630573248407644,0.9336281390725791,0.7279034580402857,0.8280254777070064,0.8980891719745223
DR.csv,0.8598726114649682,0.9099354943405412,0.719803629586117,0.8535031847133758,0.8662420382165605
SC-PseAAC.csv,0.8375796178343949,0.9275426995009939,0.6752825286548538,0.8280254777070064,0.8471337579617835
SC-PseAAC-General.csv,0.8375796178343949,0.9275426995009939,0.6752825286548538,0.8280254777070064,0.8471337579617835
PDT.csv,0.8152866242038217,0.8890015822142886,0.6338734866655396,0.7643312101910829,0.8662420382165605
DP.csv,0.8121019108280255,0.8895087021785875,0.628825577865698,0.7515923566878981,0.8726114649681529
-Top-n-gram.csv,0.8089171974522293,0.8788186133311696,0.6178845315916226,0.802547770700637,0.8152866242038217
-PDT-Profile.csv,0.802547770700637,0.8829972818369913,0.6111252185042848,0.732484076433121,0.8726114649681529
-DT.csv,0.7993630573248408,0.902693821250355,0.6002010969805864,0.8343949044585988,0.7643312101910829
-AC-PSSM.csv,0.7898089171974523,0.8600754594506876,0.5807971670914014,0.7579617834394905,0.821656050955414
kmer,0.767515923566879,0.8557142277577183,0.5350427004772446,0.7643312101910829,0.7707006369426752
-CC-PSSM.csv,0.7420382165605095,0.7945555600632886,0.49139757010627816,0.6560509554140127,0.8280254777070064
ACC-PSSM.csv,0.7388535031847133,0.7834800600430039,0.4866745092792829,0.643312101910828,0.8343949044585988
backward_5_One_hot,0.7070063694267515,0.7847377175544646,0.4181383073976685,0.6369426751592356,0.7770700636942676
forward_5_BLOSUM62,0.7070063694267515,0.7513895087021787,0.42178457470871183,0.6114649681528662,0.802547770700637
forward_5_One_hot,0.7070063694267515,0.7847377175544646,0.4181383073976685,0.6369426751592356,0.7770700636942676
backward_5_BLOSUM62,0.7070063694267515,0.7513895087021787,0.42178457470871183,0.6114649681528662,0.802547770700637
backward_5_Miyazawa_energies,0.7006369426751592,0.7656294372996877,0.4013064483533219,0.7070063694267515,0.6942675159235668
forward_5_Miyazawa_energies,0.7006369426751592,0.7656294372996877,0.4013064483533219,0.7070063694267515,0.6942675159235668
-PSSM-DT.csv,0.7006369426751592,0.7758935453770943,0.40287885628025777,0.6560509554140127,0.7452229299363057
forward_5_Meiler_parameters,0.697452229299363,0.7559738731794393,0.39497657336415976,0.6878980891719745,0.7070063694267515
backward_3_Miyazawa_energies,0.697452229299363,0.7663596900482778,0.39626524423780807,0.6560509554140127,0.7388535031847133
backward_5_PAM250,0.697452229299363,0.7627489959024707,0.3992114947978988,0.6242038216560509,0.7707006369426752
forward_3_ProtVec,0.697452229299363,0.7408414134447645,0.39848523496502214,0.6305732484076433,0.7643312101910829
forward_5_PAM250,0.697452229299363,0.7627489959024707,0.3992114947978988,0.6242038216560509,0.7707006369426752
backward_3_ProtVec,0.697452229299363,0.7408414134447645,0.39848523496502214,0.6305732484076433,0.7643312101910829
forward_3_Miyazawa_energies,0.697452229299363,0.7663596900482778,0.39626524423780807,0.6560509554140127,0.7388535031847133
backward_5_Meiler_parameters,0.697452229299363,0.7559738731794393,0.39497657336415976,0.6878980891719745,0.7070063694267515
forward_3_Hydrophobicity_matrix,0.6878980891719745,0.7413891030062071,0.3765608006416778,0.6560509554140127,0.7197452229299363
backward_3_Meiler_parameters,0.6878980891719745,0.7128889610126172,0.38026548105490393,0.6114649681528662,0.7643312101910829
forward_3_Meiler_parameters,0.6878980891719745,0.7128889610126172,0.38026548105490393,0.6114649681528662,0.7643312101910829
backward_3_BLOSUM62,0.6878980891719745,0.7634183942553451,0.3765608006416778,0.6560509554140127,0.7197452229299363
backward_3_Hydrophobicity_matrix,0.6878980891719745,0.7413891030062071,0.3765608006416778,0.6560509554140127,0.7197452229299363
forward_3_BLOSUM62,0.6878980891719745,0.7634183942553451,0.3765608006416778,0.6560509554140127,0.7197452229299363
backward_5_AESNN3,0.6751592356687898,0.7267231936386872,0.3560262092014892,0.5859872611464968,0.7643312101910829
forward_5_Acthely_factors,0.6751592356687898,0.7047344719866933,0.3510312548354624,0.643312101910828,0.7070063694267515
backward_5_Acthely_factors,0.6751592356687898,0.7047344719866933,0.3510312548354624,0.643312101910828,0.7070063694267515
forward_5_AESNN3,0.6751592356687898,0.7267231936386872,0.3560262092014892,0.5859872611464968,0.7643312101910829
backward_3_Micheletti_potentials,0.6719745222929936,0.7093188364639539,0.3477003341788151,0.5987261146496815,0.7452229299363057
forward_3_Micheletti_potentials,0.6719745222929936,0.7093188364639539,0.3477003341788151,0.5987261146496815,0.7452229299363057
backward_3_One_hot,0.6624203821656051,0.7130918089983367,0.33840200353314254,0.5222929936305732,0.802547770700637
forward_3_One_hot,0.6624203821656051,0.7130918089983367,0.33840200353314254,0.5222929936305732,0.802547770700637
backward_5_Hydrophobicity_matrix,0.6592356687898089,0.726804332832975,0.3184777979031218,0.6560509554140127,0.6624203821656051
forward_5_Hydrophobicity_matrix,0.6592356687898089,0.726804332832975,0.3184777979031218,0.6560509554140127,0.6624203821656051
backward_5_One_hot_6_bit,0.6592356687898089,0.7321392348573978,0.31852949464851593,0.6496815286624203,0.6687898089171974
forward_5_One_hot_6_bit,0.6592356687898089,0.7321392348573978,0.31852949464851593,0.6496815286624203,0.6687898089171974
forward_3_Acthely_factors,0.6560509554140127,0.7309018621445089,0.3133502215513116,0.6114649681528662,0.7006369426751592
ACC.csv,0.6560509554140127,0.6923201752606597,0.32779769888461374,0.5031847133757962,0.8089171974522293
backward_3_Acthely_factors,0.6560509554140127,0.7309018621445089,0.3133502215513116,0.6114649681528662,0.7006369426751592
forward_3_ANN4D,0.6464968152866242,0.7430930260862509,0.3014854404285189,0.5286624203821656,0.7643312101910829
forward_5_ProtVec,0.6464968152866242,0.6612844334455759,0.2947265020347543,0.5923566878980892,0.7006369426751592
backward_5_ProtVec,0.6464968152866242,0.6612844334455759,0.2947265020347543,0.5923566878980892,0.7006369426751592
backward_3_PAM250,0.6464968152866242,0.7083045965353564,0.2943401019970422,0.5987261146496815,0.6942675159235668
backward_3_ANN4D,0.6464968152866242,0.7430930260862509,0.3014854404285189,0.5286624203821656,0.7643312101910829
backward_5_ANN4D,0.6464968152866242,0.730861292547365,0.3005573147563571,0.535031847133758,0.7579617834394905
forward_5_ANN4D,0.6464968152866242,0.730861292547365,0.3005573147563571,0.535031847133758,0.7579617834394905
forward_3_PAM250,0.6464968152866242,0.7083045965353564,0.2943401019970422,0.5987261146496815,0.6942675159235668
forward_3_AESNN3,0.643312101910828,0.7368250233275184,0.2906372804414124,0.5605095541401274,0.7261146496815286
backward_3_AESNN3,0.643312101910828,0.7368250233275184,0.2906372804414124,0.5605095541401274,0.7261146496815286
backward_5_Micheletti_potentials,0.6369426751592356,0.7213680068156922,0.27661457258614996,0.5668789808917197,0.7070063694267515
forward_5_Micheletti_potentials,0.6369426751592356,0.7213680068156922,0.27661457258614996,0.5668789808917197,0.7070063694267515
backward_3_Binary_5_bit,0.6305732484076433,0.6822994847661163,0.26604873173934135,0.535031847133758,0.7261146496815286
forward_3_Binary_5_bit,0.6305732484076433,0.6822994847661163,0.26604873173934135,0.535031847133758,0.7261146496815286
backward_3_One_hot_6_bit,0.6242038216560509,0.6895614426548744,0.2484278013615802,0.6178343949044586,0.6305732484076433
forward_3_One_hot_6_bit,0.6242038216560509,0.6895614426548744,0.2484278013615802,0.6178343949044586,0.6305732484076433
feature-CC.csv,0.6146496815286624,0.6478964663880888,0.24609093372887877,0.43312101910828027,0.7961783439490446
feature-AC.csv,0.6114649681528662,0.6611830094527161,0.24569420694286748,0.4012738853503185,0.821656050955414
forward_5_Binary_5_bit,0.5987261146496815,0.6397419773621649,0.19941980814350344,0.5286624203821656,0.6687898089171974
backward_5_Binary_5_bit,0.5987261146496815,0.6397419773621649,0.19941980814350344,0.5286624203821656,0.6687898089171974
