,Acc,Auc,Mcc,Sen,Sp
PDT-Profile.csv,0.903846154,0.924556213,0.808290377,0.884615385,0.923076923
DT.csv,0.884615385,0.934911243,0.778498944,0.961538462,0.807692308
Top-n-gram.csv,0.865384615,0.909763314,0.731310341,0.846153846,0.884615385
PC-PseAAC-General.csv,0.846153846,0.872781065,0.694365075,0.884615385,0.807692308
PC-PseAAC.csv,0.846153846,0.872781065,0.694365075,0.884615385,0.807692308
PSSM-DT.csv,0.807692308,0.902366864,0.6172134,0.846153846,0.769230769
PDT.csv,0.788461538,0.843195266,0.580802319,0.730769231,0.846153846
CC-PSSM.csv,0.75,0.769230769,0.50336201,0.692307692,0.807692308
ACC-PSSM.csv,0.75,0.801775148,0.50336201,0.692307692,0.807692308
forward_32_Acthely_factors,0.75,0.807692308,0.50336201,0.692307692,0.807692308
backward_32_Acthely_factors,0.75,0.807692308,0.50336201,0.692307692,0.807692308
AC-PSSM.csv,0.730769231,0.816568047,0.474341649,0.615384615,0.846153846
SC-PseAAC.csv,0.730769231,0.813609467,0.467099366,0.653846154,0.807692308
SC-PseAAC-General.csv,0.730769231,0.813609467,0.467099366,0.653846154,0.807692308
forward_30_ANN4D,0.730769231,0.731508876,0.474341649,0.615384615,0.846153846
kmer,0.711538462,0.801775148,0.423390197,0.692307692,0.730769231
forward_22_ProtVec,0.711538462,0.74112426,0.423390197,0.730769231,0.692307692
backward_16_Miyazawa_energies,0.711538462,0.683431953,0.439297685,0.576923077,0.846153846
forward_16_Miyazawa_energies,0.711538462,0.683431953,0.439297685,0.576923077,0.846153846
DR.csv,0.711538462,0.859467456,0.439297685,0.576923077,0.846153846
backward_22_ProtVec,0.711538462,0.74112426,0.423390197,0.730769231,0.692307692
backward_32_ProtVec,0.692307692,0.782544379,0.404226042,0.846153846,0.538461538
forward_32_ProtVec,0.692307692,0.782544379,0.404226042,0.846153846,0.538461538
backward_18_ProtVec,0.692307692,0.707100592,0.389249472,0.769230769,0.615384615
backward_26_Acthely_factors,0.692307692,0.701183432,0.395284708,0.576923077,0.807692308
forward_18_ProtVec,0.692307692,0.707100592,0.389249472,0.769230769,0.615384615
backward_16_BLOSUM62,0.692307692,0.661242604,0.395284708,0.576923077,0.807692308
forward_26_Acthely_factors,0.692307692,0.701183432,0.395284708,0.576923077,0.807692308
forward_16_BLOSUM62,0.692307692,0.661242604,0.395284708,0.576923077,0.807692308
forward_26_ProtVec,0.673076923,0.729289941,0.359425379,0.807692308,0.538461538
forward_24_Acthely_factors,0.673076923,0.74556213,0.346410162,0.653846154,0.692307692
backward_28_ProtVec,0.673076923,0.74112426,0.348481392,0.730769231,0.615384615
DP.csv,0.673076923,0.74408284,0.359425379,0.538461538,0.807692308
forward_16_Micheletti_potentials,0.673076923,0.658284024,0.346410162,0.653846154,0.692307692
forward_28_ProtVec,0.673076923,0.74112426,0.348481392,0.730769231,0.615384615
backward_20_Acthely_factors,0.673076923,0.75295858,0.346410162,0.653846154,0.692307692
backward_16_Micheletti_potentials,0.673076923,0.658284024,0.346410162,0.653846154,0.692307692
backward_30_Micheletti_potentials,0.673076923,0.636094675,0.346410162,0.653846154,0.692307692
backward_28_Acthely_factors,0.673076923,0.730769231,0.352737811,0.576923077,0.769230769
backward_26_ProtVec,0.673076923,0.729289941,0.359425379,0.807692308,0.538461538
forward_20_Micheletti_potentials,0.673076923,0.662721893,0.346410162,0.653846154,0.692307692
backward_24_Acthely_factors,0.673076923,0.74556213,0.346410162,0.653846154,0.692307692
forward_20_Acthely_factors,0.673076923,0.75295858,0.346410162,0.653846154,0.692307692
forward_30_Micheletti_potentials,0.673076923,0.636094675,0.346410162,0.653846154,0.692307692
forward_28_Acthely_factors,0.673076923,0.730769231,0.352737811,0.576923077,0.769230769
backward_20_Micheletti_potentials,0.673076923,0.662721893,0.346410162,0.653846154,0.692307692
backward_22_Acthely_factors,0.653846154,0.711538462,0.307692308,0.653846154,0.653846154
backward_30_Binary_5_bit,0.653846154,0.674556213,0.307692308,0.653846154,0.653846154
forward_30_PAM250,0.653846154,0.622781065,0.3086067,0.615384615,0.692307692
backward_30_PAM250,0.653846154,0.622781065,0.3086067,0.615384615,0.692307692
forward_30_Binary_5_bit,0.653846154,0.674556213,0.307692308,0.653846154,0.653846154
forward_22_Acthely_factors,0.653846154,0.711538462,0.307692308,0.653846154,0.653846154
ACC.csv,0.634615385,0.696745562,0.269430126,0.615384615,0.653846154
forward_20_Hydrophobicity_matrix,0.634615385,0.622781065,0.269430126,0.615384615,0.653846154
backward_20_Hydrophobicity_matrix,0.634615385,0.622781065,0.269430126,0.615384615,0.653846154
feature-CC.csv,0.634615385,0.678994083,0.269430126,0.653846154,0.615384615
forward_22_Micheletti_potentials,0.634615385,0.659763314,0.271041082,0.576923077,0.692307692
backward_22_Micheletti_potentials,0.634615385,0.659763314,0.271041082,0.576923077,0.692307692
backward_32_PAM250,0.615384615,0.677514793,0.231455025,0.576923077,0.653846154
forward_24_Micheletti_potentials,0.615384615,0.665680473,0.230769231,0.615384615,0.615384615
forward_32_Binary_5_bit,0.615384615,0.673076923,0.233549683,0.692307692,0.538461538
backward_18_Acthely_factors,0.615384615,0.699704142,0.233549683,0.538461538,0.692307692
forward_18_Acthely_factors,0.615384615,0.699704142,0.233549683,0.538461538,0.692307692
forward_32_PAM250,0.615384615,0.677514793,0.231455025,0.576923077,0.653846154
forward_20_ProtVec,0.615384615,0.698224852,0.237170825,0.730769231,0.5
forward_16_Acthely_factors,0.615384615,0.73816568,0.231455025,0.653846154,0.576923077
backward_30_Acthely_factors,0.615384615,0.718934911,0.233549683,0.538461538,0.692307692
backward_20_ProtVec,0.615384615,0.698224852,0.237170825,0.730769231,0.5
backward_16_Acthely_factors,0.615384615,0.73816568,0.231455025,0.653846154,0.576923077
backward_32_Micheletti_potentials,0.615384615,0.689349112,0.231455025,0.653846154,0.576923077
backward_24_Micheletti_potentials,0.615384615,0.665680473,0.230769231,0.615384615,0.615384615
forward_30_Acthely_factors,0.615384615,0.718934911,0.233549683,0.538461538,0.692307692
backward_24_ProtVec,0.615384615,0.670118343,0.233549683,0.692307692,0.538461538
backward_32_Binary_5_bit,0.615384615,0.673076923,0.233549683,0.692307692,0.538461538
forward_24_ProtVec,0.615384615,0.670118343,0.233549683,0.692307692,0.538461538
forward_32_Micheletti_potentials,0.615384615,0.689349112,0.231455025,0.653846154,0.576923077
backward_26_Micheletti_potentials,0.596153846,0.627218935,0.19245009,0.576923077,0.615384615
forward_16_PAM250,0.596153846,0.603550296,0.193600773,0.538461538,0.653846154
forward_26_Micheletti_potentials,0.596153846,0.627218935,0.19245009,0.576923077,0.615384615
backward_16_PAM250,0.596153846,0.603550296,0.193600773,0.538461538,0.653846154
backward_24_Binary_5_bit,0.596153846,0.637573964,0.19245009,0.576923077,0.615384615
backward_30_ProtVec,0.596153846,0.661242604,0.199680766,0.730769231,0.461538462
forward_30_ProtVec,0.596153846,0.661242604,0.199680766,0.730769231,0.461538462
forward_24_Binary_5_bit,0.596153846,0.637573964,0.19245009,0.576923077,0.615384615
forward_18_Micheletti_potentials,0.596153846,0.633136095,0.19245009,0.615384615,0.576923077
backward_18_Micheletti_potentials,0.596153846,0.633136095,0.19245009,0.615384615,0.576923077
backward_24_Hydrophobicity_matrix,0.576923077,0.548816568,0.15430335,0.538461538,0.615384615
backward_28_Binary_5_bit,0.576923077,0.665680473,0.15430335,0.615384615,0.538461538
backward_20_ANN4D,0.576923077,0.538461538,0.15430335,0.538461538,0.615384615
forward_18_Binary_5_bit,0.576923077,0.606508876,0.153846154,0.576923077,0.576923077
backward_16_ProtVec,0.576923077,0.630177515,0.158113883,0.692307692,0.461538462
forward_20_ANN4D,0.576923077,0.538461538,0.15430335,0.538461538,0.615384615
backward_16_One_hot_6_bit,0.576923077,0.590236686,0.161690417,0.423076923,0.730769231
forward_16_One_hot_6_bit,0.576923077,0.590236686,0.161690417,0.423076923,0.730769231
forward_26_ANN4D,0.576923077,0.50295858,0.153846154,0.576923077,0.576923077
