iter	Logloss
0	0.6794167404
1	0.6659454366
2	0.6527297541
3	0.6397661649
4	0.6270511312
5	0.6145811065
6	0.6023525389
7	0.5903618727
8	0.578605551
9	0.567080018
10	0.5557817208
11	0.5447071119
12	0.5338526514
13	0.5232148088
14	0.5127900655
15	0.5025749162
16	0.4925658714
17	0.4827594588
18	0.4731522256
19	0.4637407396
20	0.4545215917
21	0.4454913967
22	0.4366467953
23	0.4279844555
24	0.4195010739
25	0.411193377
26	0.4030581225
27	0.3950921003
28	0.387292134
29	0.3796550813
30	0.3721778354
31	0.3648573259
32	0.3576905192
33	0.3506744196
34	0.3438060696
35	0.3370825511
36	0.3305009852
37	0.3240585332
38	0.3177523968
39	0.3115798183
40	0.3055380814
41	0.2996245107
42	0.2938364726
43	0.2881713749
44	0.2826266674
45	0.2771998413
46	0.2718884297
47	0.2666900074
48	0.2616021908
49	0.2566226378
50	0.2517490475
51	0.2469791604
52	0.2423107576
53	0.2377416609
54	0.2332697327
55	0.2288928753
56	0.2246090307
57	0.2204161802
58	0.2163123443
59	0.2122955819
60	0.2083639902
61	0.204515704
62	0.2007488957
63	0.1970617741
64	0.1934525848
65	0.1899196091
66	0.1864611636
67	0.1830755999
68	0.1797613041
69	0.176516696
70	0.1733402289
71	0.1702303887
72	0.167185694
73	0.1642046948
74	0.1612859725
75	0.1584281393
76	0.1556298375
77	0.1528897391
78	0.150206545
79	0.1475789851
80	0.145005817
81	0.142485826
82	0.1400178245
83	0.1376006512
84	0.135233171
85	0.1329142741
86	0.1306428758
87	0.1284179158
88	0.1262383579
89	0.1241031892
90	0.12201142
91	0.1199620831
92	0.1179542331
93	0.1159869467
94	0.1140593212
95	0.1121704749
96	0.1103195464
97	0.1085056939
98	0.1067280951
99	0.1049859465
100	0.1032784633
101	0.1016048789
102	0.09996444409
103	0.09835642729
104	0.09678011372
105	0.09523480518
106	0.09371981965
107	0.09223449094
108	0.09077816827
109	0.08935021601
110	0.08795001323
111	0.08657695345
112	0.08523044425
113	0.08390990698
114	0.08261477641
115	0.08134450043
116	0.08009853974
117	0.07887636759
118	0.0776774694
119	0.07650134257
120	0.07534749612
121	0.07421545048
122	0.07310473715
123	0.07201489852
124	0.07094548754
125	0.06989606751
126	0.06886621183
127	0.06785550375
128	0.06686353612
129	0.06588991121
130	0.06493424044
131	0.06399614417
132	0.06307525151
133	0.06217120009
134	0.06128363584
135	0.06041221284
136	0.05955659309
137	0.05871644631
138	0.05789144979
139	0.05708128819
140	0.05628565335
141	0.05550424414
142	0.05473676629
143	0.05398293221
144	0.05324246084
145	0.05251507749
146	0.05180051371
147	0.05109850708
148	0.05040880115
149	0.04973114522
150	0.04906529424
151	0.04841100869
152	0.04776805441
153	0.04713620249
154	0.04651522914
155	0.04590491559
156	0.04530504794
157	0.04471541704
158	0.04413581843
159	0.04356605216
160	0.04300592271
161	0.04245523892
162	0.04191381383
163	0.0413814646
164	0.04085801243
165	0.04034328246
166	0.03983710364
167	0.03933930869
168	0.03884973399
169	0.03836821947
170	0.03789460858
171	0.03742874815
172	0.03697048835
173	0.03651968259
174	0.03607618746
175	0.03563986263
176	0.03521057083
177	0.0347881777
178	0.0343725518
179	0.03396356449
180	0.03356108989
181	0.03316500479
182	0.03277518864
183	0.03239152343
184	0.03201389365
185	0.03164218625
186	0.03127629057
187	0.03091609829
188	0.03056150336
189	0.03021240195
190	0.02986869245
191	0.02953027533
192	0.02919705316
193	0.02886893056
194	0.02854581409
195	0.0282276123
196	0.02791423559
197	0.02760559626
198	0.02730160837
199	0.0270021878
200	0.02670725212
201	0.02641672061
202	0.02613051419
203	0.02584855543
204	0.02557076842
205	0.02529707885
206	0.02502741388
207	0.02476170216
208	0.0244998738
209	0.02424186029
210	0.02398759451
211	0.0237370107
212	0.02349004439
213	0.02324663244
214	0.02300671292
215	0.02277022519
216	0.02253710977
217	0.02230730837
218	0.02208076387
219	0.02185742026
220	0.02163722264
221	0.02142011719
222	0.02120605115
223	0.02099497278
224	0.02078683137
225	0.02058157717
226	0.02037916142
227	0.0201795363
228	0.01998265493
229	0.0197884713
230	0.01959694032
231	0.01940801775
232	0.01922166021
233	0.01903782514
234	0.01885647081
235	0.01867755626
236	0.01850104133
237	0.01832688662
238	0.01815505347
239	0.01798550395
240	0.01781820085
241	0.01765310766
242	0.01749018855
243	0.01732940837
244	0.01717073261
245	0.01701412743
246	0.01685955959
247	0.0167069965
248	0.01655640614
249	0.01640775711
250	0.01626101857
251	0.01611616025
252	0.01597315245
253	0.015831966
254	0.01569257227
255	0.01555494314
256	0.01541905102
257	0.01528486881
258	0.01515236991
259	0.01502152818
260	0.01489231797
261	0.0147647141
262	0.01463869181
263	0.01451422682
264	0.01439129525
265	0.01426987368
266	0.01414993908
267	0.01403146883
268	0.01391444074
269	0.01379883297
270	0.0136846241
271	0.01357179307
272	0.0134603192
273	0.01335018215
274	0.01324136196
275	0.01313383901
276	0.01302759403
277	0.01292260805
278	0.01281886248
279	0.01271633901
280	0.01261501966
281	0.01251488677
282	0.01241592297
283	0.01231811118
284	0.01222143465
285	0.01212587686
286	0.01203142161
287	0.01193805298
288	0.01184575528
289	0.01175451313
290	0.01166431137
291	0.01157513513
292	0.01148696977
293	0.0113998009
294	0.01131361437
295	0.01122839626
296	0.0111441329
297	0.01106081082
298	0.01097841679
299	0.01089693781
300	0.01081636106
301	0.01073667397
302	0.01065786415
303	0.01057991942
304	0.01050282781
305	0.01042657752
306	0.01035115696
307	0.01027655474
308	0.01020275963
309	0.01012976059
310	0.01005754677
311	0.009986107473
312	0.00991543219
313	0.009845510576
314	0.00977633245
315	0.009707887796
316	0.009640166756
317	0.009573159627
318	0.009506856863
319	0.009441249067
320	0.009376326989
321	0.009312081528
322	0.009248503724
323	0.009185584756
324	0.009123315944
325	0.009061688741
326	0.009000694735
327	0.008940325644
328	0.008880573312
329	0.008821429714
330	0.008762886944
331	0.008704937222
332	0.008647572883
333	0.008590786384
334	0.008534570295
335	0.008478917299
336	0.008423820192
337	0.008369271879
338	0.008315265371
339	0.008261793788
340	0.008208850351
341	0.008156428384
342	0.008104521312
343	0.008053122658
344	0.008002226042
345	0.00795182518
346	0.007901913881
347	0.007852486045
348	0.007803535665
349	0.007755056822
350	0.007707043682
351	0.007659490501
352	0.007612391618
353	0.007565741452
354	0.007519534509
355	0.007473765372
356	0.007428428704
357	0.007383519244
358	0.007339031811
359	0.007294961295
360	0.007251302663
361	0.007208050954
362	0.007165201276
363	0.00712274881
364	0.007080688806
365	0.007039016579
366	0.006997727516
367	0.006956817065
368	0.00691628074
369	0.00687611412
370	0.006836312845
371	0.006796872619
372	0.006757789202
373	0.006719058418
374	0.006680676149
375	0.006642638331
376	0.006604940962
377	0.006567580091
378	0.006530551826
379	0.006493852327
380	0.006457477807
381	0.006421424531
382	0.006385688818
383	0.006350267036
384	0.006315155601
385	0.006280350982
386	0.006245849694
387	0.006211648299
388	0.006177743408
389	0.006144131676
390	0.006110809805
391	0.006077774541
392	0.006045022672
393	0.006012551034
394	0.0059803565
395	0.005948435989
396	0.005916786461
397	0.005885404914
398	0.005854288388
399	0.005823433962
400	0.005792838755
401	0.005762499922
402	0.005732414657
403	0.005702580191
404	0.00567299379
405	0.005643652759
406	0.005614554436
407	0.005585696194
408	0.005557075441
409	0.005528689618
410	0.005500536201
411	0.005472612697
412	0.005444916645
413	0.005417445619
414	0.00539019722
415	0.005363169083
416	0.005336358872
417	0.005309764281
418	0.005283383035
419	0.005257212886
420	0.005231251616
421	0.005205497034
422	0.005179946979
423	0.005154599315
424	0.005129451934
425	0.005104502755
426	0.005079749723
427	0.005055190808
428	0.005030824006
429	0.005006647339
430	0.004982658853
431	0.004958856617
432	0.004935238727
433	0.0049118033
434	0.004888548477
435	0.004865472422
436	0.004842573323
437	0.004819849389
438	0.004797298851
439	0.004774919962
440	0.004752710996
441	0.004730670248
442	0.004708796036
443	0.004687086695
444	0.004665540583
445	0.004644156077
446	0.004622931572
447	0.004601865485
448	0.00458095625
449	0.004560202322
450	0.004539602172
451	0.004519154291
452	0.004498857189
453	0.00447870939
454	0.00445870944
455	0.004438855899
456	0.004419147346
457	0.004399582376
458	0.004380159601
459	0.004360877648
460	0.004341735163
461	0.004322730805
462	0.00430386325
463	0.00428513119
464	0.004266533331
465	0.004248068395
466	0.004229735119
467	0.004211532254
468	0.004193458565
469	0.004175512832
470	0.004157693851
471	0.004140000428
472	0.004122431385
473	0.004104985558
474	0.004087661795
475	0.004070458957
476	0.00405337592
477	0.00403641157
478	0.004019564809
479	0.004002834548
480	0.003986219712
481	0.003969719239
482	0.003953332077
483	0.003937057188
484	0.003920893543
485	0.003904840127
486	0.003888895936
487	0.003873059976
488	0.003857331264
489	0.003841708829
490	0.003826191711
491	0.00381077896
492	0.003795469636
493	0.00378026281
494	0.003765157564
495	0.003750152988
496	0.003735248185
497	0.003720442264
498	0.003705734347
499	0.003691123565
500	0.003676609057
501	0.003662189972
502	0.003647865469
503	0.003633634715
504	0.003619496888
505	0.003605451172
506	0.003591496763
507	0.003577632862
508	0.003563858681
509	0.003550173441
510	0.003536576369
511	0.003523066702
512	0.003509643685
513	0.00349630657
514	0.003483054618
515	0.003469887098
516	0.003456803285
517	0.003443802463
518	0.003430883925
519	0.003418046968
520	0.003405290898
521	0.00339261503
522	0.003380018684
523	0.003367501187
524	0.003355061874
525	0.003342700087
526	0.003330415175
527	0.003318206492
528	0.003306073401
529	0.00329401527
530	0.003282031473
531	0.003270121394
532	0.003258284418
533	0.00324651994
534	0.003234827361
535	0.003223206087
536	0.00321165553
537	0.003200175109
538	0.003188764247
539	0.003177422376
540	0.003166148931
541	0.003154943354
542	0.003143805091
543	0.003132733596
544	0.003121728327
545	0.003110788748
546	0.003099914328
547	0.003089104541
548	0.003078358867
549	0.003067676791
550	0.003057057803
551	0.003046501397
552	0.003036007074
553	0.003025574339
554	0.003015202701
555	0.003004891676
556	0.002994640783
557	0.002984449545
558	0.002974317492
559	0.002964244158
560	0.002954229079
561	0.0029442718
562	0.002934371866
563	0.002924528829
564	0.002914742244
565	0.002905011673
566	0.002895336678
567	0.002885716829
568	0.002876151699
569	0.002866640862
570	0.002857183902
571	0.002847780402
572	0.002838429951
573	0.002829132142
574	0.002819886572
575	0.00281069284
576	0.002801550552
577	0.002792459314
578	0.00278341874
579	0.002774428443
580	0.002765488044
581	0.002756597164
582	0.00274775543
583	0.002738962471
584	0.002730217921
585	0.002721521415
586	0.002712872595
587	0.002704271102
588	0.002695716585
589	0.002687208691
590	0.002678747076
591	0.002670331394
592	0.002661961306
593	0.002653636474
594	0.002645356564
595	0.002637121245
596	0.002628930188
597	0.002620783068
598	0.002612679563
599	0.002604619355
600	0.002596602126
601	0.002588627563
602	0.002580695356
603	0.002572805197
604	0.00256495678
605	0.002557149804
606	0.00254938397
607	0.002541658979
608	0.002533974538
609	0.002526330357
610	0.002518726144
611	0.002511161616
612	0.002503636487
613	0.002496150476
614	0.002488703305
615	0.002481294697
616	0.00247392438
617	0.00246659208
618	0.00245929753
619	0.002452040463
620	0.002444820614
621	0.002437637722
622	0.002430491527
623	0.002423381772
624	0.002416308201
625	0.002409270562
626	0.002402268604
627	0.002395302079
628	0.00238837074
629	0.002381474343
630	0.002374612646
631	0.00236778541
632	0.002360992396
633	0.002354233368
634	0.002347508093
635	0.002340816339
636	0.002334157876
637	0.002327532476
638	0.002320939914
639	0.002314379965
640	0.002307852408
641	0.002301357022
642	0.002294893589
643	0.002288461893
644	0.002282061719
645	0.002275692854
646	0.002269355087
647	0.00226304821
648	0.002256772014
649	0.002250526294
650	0.002244310846
651	0.002238125468
652	0.00223196996
653	0.002225844121
654	0.002219747756
655	0.002213680669
656	0.002207642665
657	0.002201633552
658	0.00219565314
659	0.002189701239
660	0.002183777662
661	0.002177882223
662	0.002172014737
663	0.002166175021
664	0.002160362894
665	0.002154578175
666	0.002148820686
667	0.002143090251
668	0.002137386693
669	0.002131709838
670	0.002126059513
671	0.002120435547
672	0.00211483777
673	0.002109266014
674	0.002103720111
675	0.002098199894
676	0.002092705201
677	0.002087235867
678	0.00208179173
679	0.00207637263
680	0.002070978407
681	0.002065608903
682	0.002060263963
683	0.002054943429
684	0.002049647147
685	0.002044374965
686	0.002039126731
687	0.002033902294
688	0.002028701504
689	0.002023524213
690	0.002018370274
691	0.002013239541
692	0.002008131869
693	0.002003047114
694	0.001997985135
695	0.001992945789
696	0.001987928935
697	0.001982934436
698	0.001977962152
699	0.001973011947
700	0.001968083684
701	0.001963177228
702	0.001958292446
703	0.001953429205
704	0.001948587372
705	0.001943766818
706	0.001938967411
707	0.001934189024
708	0.001929431527
709	0.001924694796
710	0.001919978703
711	0.001915283123
712	0.001910607933
713	0.001905953009
714	0.00190131823
715	0.001896703474
716	0.001892108621
717	0.001887533552
718	0.001882978147
719	0.00187844229
720	0.001873925864
721	0.001869428753
722	0.001864950842
723	0.001860492017
724	0.001856052165
725	0.001851631174
726	0.001847228931
727	0.001842845327
728	0.00183848025
729	0.001834133594
730	0.001829805248
731	0.001825495106
732	0.00182120306
733	0.001816929006
734	0.001812672838
735	0.001808434451
736	0.001804213743
737	0.00180001061
738	0.001795824951
739	0.001791656663
740	0.001787505647
741	0.001783371803
742	0.001779255032
743	0.001775155235
744	0.001771072315
745	0.001767006174
746	0.001762956717
747	0.001758923848
748	0.001754907473
749	0.001750907496
750	0.001746923825
751	0.001742956367
752	0.00173900503
753	0.001735069722
754	0.001731150352
755	0.001727246831
756	0.001723359068
757	0.001719486975
758	0.001715630464
759	0.001711789447
760	0.001707963837
761	0.001704153548
762	0.001700358493
763	0.001696578589
764	0.001692813749
765	0.001689063891
766	0.001685328931
767	0.001681608786
768	0.001677903373
769	0.001674212613
770	0.001670536422
771	0.001666874721
772	0.001663227431
773	0.00165959447
774	0.001655975762
775	0.001652371227
776	0.001648780788
777	0.001645204367
778	0.001641641889
779	0.001638093276
780	0.001634558454
781	0.001631037347
782	0.001627529881
783	0.001624035981
784	0.001620555575
785	0.001617088588
786	0.00161363495
787	0.001610194587
788	0.001606767428
789	0.001603353403
790	0.00159995244
791	0.001596564469
792	0.001593189422
793	0.001589827228
794	0.001586477819
795	0.001583141128
796	0.001579817085
797	0.001576505625
798	0.001573206679
799	0.001569920183
800	0.001566646069
801	0.001563384273
802	0.001560134729
803	0.001556897373
804	0.001553672141
805	0.001550458968
806	0.001547257792
807	0.00154406855
808	0.001540891179
809	0.001537725617
810	0.001534571803
811	0.001531429675
