iter	Passed	Remaining
0	2	2388
1	4	2380
2	6	2224
3	8	2124
4	10	2056
5	12	2010
6	13	1911
7	14	1762
8	14	1644
9	15	1559
10	16	1480
11	17	1418
12	17	1364
13	18	1329
14	19	1303
15	21	1304
16	22	1274
17	23	1264
18	24	1241
19	25	1225
20	25	1194
21	26	1168
22	27	1148
23	27	1128
24	28	1118
25	29	1101
26	31	1138
27	32	1118
28	33	1106
29	33	1088
30	34	1074
31	35	1062
32	35	1051
33	36	1046
34	37	1036
35	38	1028
36	39	1019
37	39	1009
38	40	1000
39	41	989
40	41	982
41	42	971
42	43	959
43	43	949
44	44	940
45	45	935
46	45	925
47	46	915
48	46	905
49	47	895
50	47	885
51	48	877
52	48	868
53	49	860
54	49	851
55	50	843
56	50	835
57	51	828
58	51	820
59	51	813
60	52	807
61	52	800
62	53	794
63	53	787
64	54	781
65	54	776
66	55	770
67	55	764
68	56	759
69	56	754
70	57	748
71	57	744
72	58	740
73	58	737
74	59	734
75	60	731
76	60	728
77	61	725
78	61	722
79	62	719
80	63	715
81	63	712
82	64	708
83	64	704
84	65	702
85	65	700
86	66	696
87	66	694
88	67	690
89	67	686
90	68	683
91	69	681
92	69	678
93	70	676
94	70	673
95	71	671
96	71	669
97	72	667
98	73	665
99	73	663
100	74	661
101	74	660
102	75	657
103	76	655
104	76	653
105	77	651
106	77	649
107	78	647
108	78	645
109	79	642
110	80	641
111	80	640
112	81	638
113	81	636
114	82	636
115	83	635
116	83	633
117	84	631
118	85	629
119	85	627
120	86	625
121	86	623
122	87	621
123	87	619
124	88	617
125	88	614
126	89	614
127	89	612
128	90	611
129	91	609
130	91	608
131	92	606
132	92	605
133	93	603
134	93	601
135	94	599
136	94	597
137	95	595
138	95	593
139	96	593
140	97	591
141	97	590
142	98	589
143	98	587
144	99	586
145	100	585
146	100	584
147	101	582
148	101	580
149	102	579
150	102	578
151	103	577
152	104	575
153	104	574
154	105	573
155	105	572
156	106	570
157	106	569
158	107	567
159	107	566
160	108	564
161	108	562
162	109	561
163	109	560
164	110	558
165	110	556
166	111	555
167	111	554
168	112	552
169	112	551
170	113	549
171	114	548
172	115	549
173	115	548
174	116	547
175	116	546
176	117	544
177	117	543
178	118	542
179	118	541
180	119	540
181	119	538
182	120	537
183	120	536
184	121	534
185	121	533
186	122	532
187	123	532
188	123	530
189	124	529
190	124	529
191	125	527
192	125	526
193	126	524
194	126	524
195	127	523
196	128	522
197	128	521
198	129	519
199	129	518
200	130	517
201	130	516
202	131	515
203	131	514
204	132	513
205	133	512
206	133	512
207	134	511
208	134	510
209	135	508
210	135	507
211	136	506
212	136	505
213	137	504
214	137	502
215	138	501
216	138	500
217	139	499
218	139	498
219	140	497
220	140	496
221	141	495
222	141	494
223	142	493
224	142	492
225	143	491
226	143	490
227	144	488
228	145	488
229	145	488
230	146	487
231	146	485
232	147	484
233	147	483
234	148	483
235	148	482
236	149	481
237	150	480
238	150	479
239	151	478
240	151	477
241	152	476
242	152	475
243	153	474
244	153	473
245	154	472
246	154	471
247	154	469
248	155	468
249	155	467
250	156	466
251	156	465
252	157	464
253	157	463
254	158	462
255	158	461
256	159	459
257	159	458
258	159	457
259	160	456
260	160	455
261	161	454
262	161	453
263	162	454
264	163	453
265	163	452
266	164	451
267	165	450
268	165	449
269	166	449
270	166	448
271	167	447
272	167	446
273	168	445
274	168	444
275	169	443
276	169	442
277	170	441
278	170	440
279	171	440
280	171	439
281	172	438
282	172	437
283	173	436
284	173	436
285	174	435
286	175	434
287	175	434
288	176	433
289	176	432
290	177	431
291	177	430
292	178	430
293	178	429
294	179	428
295	179	427
296	180	427
297	181	426
298	181	425
299	182	424
300	182	423
301	182	422
302	183	421
303	183	420
304	184	419
305	184	418
306	184	417
307	185	416
308	185	415
309	186	414
310	186	412
311	186	411
312	187	410
313	187	409
314	188	409
315	188	408
316	189	407
317	189	407
318	190	406
319	190	405
320	191	404
321	191	404
322	192	403
323	192	402
324	193	401
325	193	400
326	194	399
327	194	398
328	195	397
329	195	397
330	196	396
331	196	396
332	197	395
333	197	394
334	198	394
335	199	393
336	199	392
337	200	391
338	200	391
339	201	390
340	201	389
341	202	389
342	202	388
343	203	388
344	204	387
345	204	386
346	205	386
347	205	385
348	206	385
349	206	384
350	207	383
351	207	382
352	208	381
353	208	380
354	209	380
355	209	379
356	210	378
357	211	378
358	211	377
359	212	376
360	212	376
361	212	375
362	213	374
363	214	374
364	214	373
365	215	372
366	215	371
367	216	371
368	216	370
369	217	369
370	217	368
371	217	368
372	218	367
373	218	366
374	219	365
375	219	364
376	220	364
377	220	363
378	221	362
379	221	361
380	222	360
381	222	359
382	222	358
383	223	358
384	223	357
385	224	356
386	224	356
387	225	355
388	225	354
389	226	354
390	226	353
391	227	352
392	227	351
393	227	350
394	228	349
395	228	349
396	229	348
397	229	347
398	230	347
399	230	346
400	231	345
401	231	344
402	232	344
403	232	343
404	233	342
405	233	342
406	234	341
407	234	340
408	235	340
409	235	339
410	236	338
411	236	337
412	237	337
413	237	336
414	238	335
415	238	334
416	239	334
417	239	333
418	239	332
419	240	331
420	240	331
421	241	330
422	241	329
423	242	329
424	242	328
425	243	327
426	243	327
427	244	326
428	244	325
429	245	324
430	245	324
431	245	323
432	246	322
433	246	321
434	247	321
435	247	320
436	248	320
437	248	319
438	249	318
439	249	317
440	250	317
441	250	316
442	251	316
443	251	315
444	252	314
445	252	314
446	253	313
447	253	312
448	254	312
449	254	311
450	255	310
451	255	309
452	255	308
453	256	308
454	256	307
455	257	307
456	257	306
457	258	305
458	259	305
459	259	304
460	260	304
461	260	303
462	261	302
463	261	302
464	262	302
465	262	301
466	263	300
467	263	299
468	264	299
469	264	298
470	265	298
471	266	297
472	266	297
473	267	296
474	267	295
475	268	295
476	268	294
477	269	294
478	269	293
479	270	292
480	270	291
481	271	291
482	271	290
483	271	289
484	272	289
485	272	288
486	273	287
487	273	287
488	274	286
489	274	286
490	275	285
491	275	284
492	276	284
493	276	283
494	277	282
495	277	281
496	277	281
497	278	280
498	278	280
499	279	279
500	279	278
501	280	278
502	280	277
503	281	277
504	282	276
505	283	276
506	283	275
507	284	275
508	285	274
509	285	274
510	286	273
511	286	273
512	287	272
513	287	271
514	288	271
515	288	270
516	289	270
517	290	269
518	290	269
519	291	268
520	291	268
521	292	267
522	292	267
523	293	266
524	293	265
525	294	265
526	294	264
527	295	263
528	295	263
529	296	262
530	296	262
531	297	261
532	297	260
533	298	260
534	298	259
535	299	259
536	299	258
537	300	257
538	300	257
539	300	256
540	301	255
541	301	255
542	302	254
543	302	253
544	303	253
545	303	252
546	304	252
547	304	251
548	305	250
549	305	250
550	306	249
551	307	249
552	307	248
553	308	248
554	308	247
555	309	246
556	309	246
557	310	245
558	310	244
559	310	244
560	311	243
561	311	243
562	312	242
563	312	241
564	313	241
565	313	240
566	314	240
567	314	239
568	315	238
569	315	238
570	316	237
571	316	236
572	317	236
573	317	235
574	317	235
575	318	234
576	318	233
577	319	233
578	320	232
579	320	232
580	321	231
581	321	231
582	322	230
583	322	229
584	323	229
585	323	228
586	324	228
587	324	227
588	325	226
589	325	226
590	326	225
591	326	225
592	327	224
593	327	223
594	328	223
595	328	222
596	329	222
597	329	221
598	329	220
599	330	220
600	330	219
601	331	219
602	331	218
603	332	217
604	332	217
605	333	216
606	333	215
607	333	215
608	334	214
609	334	214
610	335	213
611	335	212
612	336	212
613	336	211
614	337	211
615	337	210
616	338	209
617	338	209
618	338	208
619	339	207
620	339	207
621	340	206
622	340	206
623	341	205
624	341	204
625	342	204
626	342	203
627	342	203
628	343	202
629	343	202
630	344	201
631	344	200
632	345	200
633	345	199
634	346	199
635	346	198
636	347	197
637	347	197
638	347	196
639	348	195
640	348	195
641	349	194
642	349	194
643	350	193
644	350	192
645	351	192
646	351	191
647	352	191
648	352	190
649	353	190
650	353	189
651	354	188
652	354	188
653	355	187
654	355	187
655	356	186
656	356	186
657	356	185
658	357	184
659	357	184
660	358	183
661	358	183
662	359	182
663	359	182
664	360	181
665	360	180
666	361	180
667	361	179
668	362	179
669	362	178
670	363	177
671	363	177
672	363	176
673	364	176
674	364	175
675	365	175
676	365	174
677	366	173
678	366	173
679	367	172
680	367	172
681	367	171
682	368	171
683	368	170
684	369	169
685	369	169
686	370	168
687	370	168
688	371	167
689	371	166
690	372	166
691	372	165
692	373	165
693	373	164
694	374	164
695	374	163
696	375	163
697	375	162
698	376	161
699	376	161
700	377	160
701	377	160
702	377	159
703	378	159
704	378	158
705	378	157
706	379	157
707	379	156
708	380	156
709	380	155
710	381	154
711	381	154
712	382	153
713	383	153
714	383	152
715	384	152
716	384	151
717	384	151
718	385	150
719	385	150
720	386	149
721	386	148
722	387	148
723	387	147
724	388	147
725	388	146
726	388	146
727	389	145
728	389	144
729	390	144
730	390	143
731	391	143
732	391	142
733	392	142
734	392	141
735	393	141
736	393	140
737	394	139
738	394	139
739	395	138
740	395	138
741	396	137
742	396	137
743	397	136
744	398	136
745	398	135
746	398	135
747	399	134
748	399	133
749	400	133
750	400	132
751	401	132
752	401	131
753	402	131
754	402	130
755	403	130
756	403	129
757	404	129
758	404	128
759	405	128
760	405	127
761	406	126
762	406	126
763	407	125
764	407	125
765	408	124
766	408	124
767	409	123
768	409	123
769	410	122
770	410	121
771	411	121
772	411	120
773	412	120
774	412	119
775	413	119
776	413	118
777	414	118
778	414	117
779	415	117
780	415	116
781	415	115
782	416	115
783	416	114
784	417	114
785	417	113
786	418	113
787	418	112
788	419	112
789	419	111
790	420	111
791	420	110
792	421	109
793	421	109
794	421	108
795	422	108
796	422	107
797	423	107
798	423	106
799	424	106
800	424	105
801	425	104
802	425	104
803	426	103
804	426	103
805	427	102
806	427	102
807	428	101
808	428	101
809	429	100
810	429	100
811	430	99
812	430	99
813	431	98
814	431	97
815	431	97
816	432	96
817	432	96
818	433	95
819	433	95
820	434	94
821	434	94
822	435	93
823	435	93
824	436	92
825	436	91
826	436	91
827	437	90
828	437	90
829	438	89
830	438	89
831	439	88
832	439	88
833	440	87
834	440	87
835	441	86
836	441	85
837	441	85
838	442	84
839	442	84
840	443	83
841	443	83
842	444	82
843	444	82
844	445	81
845	445	81
846	446	80
